hlpi_name,series_ref,quarter,hlpi,nzhec,nzhec_name,nzhec_short,level,index,change.q,change.a
Income quintile 1 (low),HPIQ.SIQ102,2008Q2,disq1,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,669,NA,NA
Income quintile 2,HPIQ.SIQ202,2008Q2,disq2,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,698,NA,NA
Income quintile 3,HPIQ.SIQ302,2008Q2,disq3,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,735,NA,NA
Income quintile 4,HPIQ.SIQ402,2008Q2,disq4,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,766,NA,NA
Income quintile 5 (high),HPIQ.SIQ502,2008Q2,disq5,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,831,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ102,2008Q2,expq1,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,661,NA,NA
Expenditure quintile 2,HPIQ.SEQ202,2008Q2,expq2,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,703,NA,NA
Expenditure quintile 3,HPIQ.SEQ302,2008Q2,expq3,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,745,NA,NA
Expenditure quintile 4,HPIQ.SEQ402,2008Q2,expq4,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,774,NA,NA
Expenditure quintile 5 (high),HPIQ.SEQ502,2008Q2,expq5,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,830,NA,NA
Maori,HPIQ.SMAO02,2008Q2,maori,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,672,NA,NA
Superannuitant,HPIQ.SSUP02,2008Q2,super,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,775,NA,NA
All households,HPIQ.SALL021,2008Q2,allhh,2.1,Alcoholic beverages,Alcohol,subgroup,912,NA,NA
Beneficiary,HPIQ.SBEN021,2008Q2,benef,2.1,Alcoholic beverages,Alcohol,subgroup,904,NA,NA
Income quintile 1 (low),HPIQ.SIQ1021,2008Q2,disq1,2.1,Alcoholic beverages,Alcohol,subgroup,918,NA,NA
Income quintile 2,HPIQ.SIQ2021,2008Q2,disq2,2.1,Alcoholic beverages,Alcohol,subgroup,908,NA,NA
Income quintile 3,HPIQ.SIQ3021,2008Q2,disq3,2.1,Alcoholic beverages,Alcohol,subgroup,905,NA,NA
Income quintile 4,HPIQ.SIQ4021,2008Q2,disq4,2.1,Alcoholic beverages,Alcohol,subgroup,902,NA,NA
Income quintile 5 (high),HPIQ.SIQ5021,2008Q2,disq5,2.1,Alcoholic beverages,Alcohol,subgroup,930,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ1021,2008Q2,expq1,2.1,Alcoholic beverages,Alcohol,subgroup,908,NA,NA
Expenditure quintile 2,HPIQ.SEQ2021,2008Q2,expq2,2.1,Alcoholic beverages,Alcohol,subgroup,893,NA,NA
Expenditure quintile 3,HPIQ.SEQ3021,2008Q2,expq3,2.1,Alcoholic beverages,Alcohol,subgroup,910,NA,NA
Expenditure quintile 4,HPIQ.SEQ4021,2008Q2,expq4,2.1,Alcoholic beverages,Alcohol,subgroup,907,NA,NA
Expenditure quintile 5 (high),HPIQ.SEQ5021,2008Q2,expq5,2.1,Alcoholic beverages,Alcohol,subgroup,939,NA,NA
Maori,HPIQ.SMAO021,2008Q2,maori,2.1,Alcoholic beverages,Alcohol,subgroup,886,NA,NA
Superannuitant,HPIQ.SSUP021,2008Q2,super,2.1,Alcoholic beverages,Alcohol,subgroup,934,NA,NA
All households,HPIQ.SALL022,2008Q2,allhh,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,539,NA,NA
Beneficiary,HPIQ.SBEN022,2008Q2,benef,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,521,NA,NA
Income quintile 1 (low),HPIQ.SIQ1022,2008Q2,disq1,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,528,NA,NA
Income quintile 2,HPIQ.SIQ2022,2008Q2,disq2,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,540,NA,NA
Income quintile 3,HPIQ.SIQ3022,2008Q2,disq3,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,540,NA,NA
Income quintile 4,HPIQ.SIQ4022,2008Q2,disq4,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,545,NA,NA
Income quintile 5 (high),HPIQ.SIQ5022,2008Q2,disq5,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,550,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ1022,2008Q2,expq1,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,533,NA,NA
Expenditure quintile 2,HPIQ.SEQ2022,2008Q2,expq2,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,535,NA,NA
Expenditure quintile 3,HPIQ.SEQ3022,2008Q2,expq3,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,542,NA,NA
Expenditure quintile 4,HPIQ.SEQ4022,2008Q2,expq4,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,547,NA,NA
Expenditure quintile 5 (high),HPIQ.SEQ5022,2008Q2,expq5,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,546,NA,NA
Maori,HPIQ.SMAO022,2008Q2,maori,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,534,NA,NA
Superannuitant,HPIQ.SSUP022,2008Q2,super,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,542,NA,NA
All households,HPIQ.SALL03,2008Q2,allhh,3,Clothing and footwear,Clothing and footwear,group,1005,NA,NA
Beneficiary,HPIQ.SBEN03,2008Q2,benef,3,Clothing and footwear,Clothing and footwear,group,1009,NA,NA
Income quintile 1 (low),HPIQ.SIQ103,2008Q2,disq1,3,Clothing and footwear,Clothing and footwear,group,1001,NA,NA
Income quintile 2,HPIQ.SIQ203,2008Q2,disq2,3,Clothing and footwear,Clothing and footwear,group,1014,NA,NA
Income quintile 3,HPIQ.SIQ303,2008Q2,disq3,3,Clothing and footwear,Clothing and footwear,group,1012,NA,NA
Income quintile 4,HPIQ.SIQ403,2008Q2,disq4,3,Clothing and footwear,Clothing and footwear,group,996,NA,NA
Income quintile 5 (high),HPIQ.SIQ503,2008Q2,disq5,3,Clothing and footwear,Clothing and footwear,group,1007,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ103,2008Q2,expq1,3,Clothing and footwear,Clothing and footwear,group,1015,NA,NA
Expenditure quintile 2,HPIQ.SEQ203,2008Q2,expq2,3,Clothing and footwear,Clothing and footwear,group,1003,NA,NA
Expenditure quintile 3,HPIQ.SEQ303,2008Q2,expq3,3,Clothing and footwear,Clothing and footwear,group,1009,NA,NA
Expenditure quintile 4,HPIQ.SEQ403,2008Q2,expq4,3,Clothing and footwear,Clothing and footwear,group,1007,NA,NA
Expenditure quintile 5 (high),HPIQ.SEQ503,2008Q2,expq5,3,Clothing and footwear,Clothing and footwear,group,999,NA,NA
Maori,HPIQ.SMAO03,2008Q2,maori,3,Clothing and footwear,Clothing and footwear,group,1021,NA,NA
Superannuitant,HPIQ.SSUP03,2008Q2,super,3,Clothing and footwear,Clothing and footwear,group,987,NA,NA
All households,HPIQ.SALL031,2008Q2,allhh,3.1,Clothing,Clothing,subgroup,1002,NA,NA
Beneficiary,HPIQ.SBEN031,2008Q2,benef,3.1,Clothing,Clothing,subgroup,1003,NA,NA
Income quintile 1 (low),HPIQ.SIQ1031,2008Q2,disq1,3.1,Clothing,Clothing,subgroup,1000,NA,NA
Income quintile 2,HPIQ.SIQ2031,2008Q2,disq2,3.1,Clothing,Clothing,subgroup,1012,NA,NA
Income quintile 3,HPIQ.SIQ3031,2008Q2,disq3,3.1,Clothing,Clothing,subgroup,1010,NA,NA
Income quintile 4,HPIQ.SIQ4031,2008Q2,disq4,3.1,Clothing,Clothing,subgroup,992,NA,NA
Income quintile 5 (high),HPIQ.SIQ5031,2008Q2,disq5,3.1,Clothing,Clothing,subgroup,1003,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ1031,2008Q2,expq1,3.1,Clothing,Clothing,subgroup,1013,NA,NA
Expenditure quintile 2,HPIQ.SEQ2031,2008Q2,expq2,3.1,Clothing,Clothing,subgroup,997,NA,NA
Expenditure quintile 3,HPIQ.SEQ3031,2008Q2,expq3,3.1,Clothing,Clothing,subgroup,1004,NA,NA
Expenditure quintile 4,HPIQ.SEQ4031,2008Q2,expq4,3.1,Clothing,Clothing,subgroup,1005,NA,NA
Expenditure quintile 5 (high),HPIQ.SEQ5031,2008Q2,expq5,3.1,Clothing,Clothing,subgroup,998,NA,NA
Maori,HPIQ.SMAO031,2008Q2,maori,3.1,Clothing,Clothing,subgroup,1020,NA,NA
Superannuitant,HPIQ.SSUP031,2008Q2,super,3.1,Clothing,Clothing,subgroup,988,NA,NA
All households,HPIQ.SALL032,2008Q2,allhh,3.2,Footwear,Footwear,subgroup,1021,NA,NA
Beneficiary,HPIQ.SBEN032,2008Q2,benef,3.2,Footwear,Footwear,subgroup,1024,NA,NA
Income quintile 1 (low),HPIQ.SIQ1032,2008Q2,disq1,3.2,Footwear,Footwear,subgroup,1003,NA,NA
Income quintile 2,HPIQ.SIQ2032,2008Q2,disq2,3.2,Footwear,Footwear,subgroup,1017,NA,NA
Income quintile 3,HPIQ.SIQ3032,2008Q2,disq3,3.2,Footwear,Footwear,subgroup,1022,NA,NA
Income quintile 4,HPIQ.SIQ4032,2008Q2,disq4,3.2,Footwear,Footwear,subgroup,1023,NA,NA
Income quintile 5 (high),HPIQ.SIQ5032,2008Q2,disq5,3.2,Footwear,Footwear,subgroup,1029,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ1032,2008Q2,expq1,3.2,Footwear,Footwear,subgroup,1017,NA,NA
Expenditure quintile 2,HPIQ.SEQ2032,2008Q2,expq2,3.2,Footwear,Footwear,subgroup,1022,NA,NA
Expenditure quintile 3,HPIQ.SEQ3032,2008Q2,expq3,3.2,Footwear,Footwear,subgroup,1027,NA,NA
Expenditure quintile 4,HPIQ.SEQ4032,2008Q2,expq4,3.2,Footwear,Footwear,subgroup,1020,NA,NA
Expenditure quintile 5 (high),HPIQ.SEQ5032,2008Q2,expq5,3.2,Footwear,Footwear,subgroup,1011,NA,NA
Maori,HPIQ.SMAO032,2008Q2,maori,3.2,Footwear,Footwear,subgroup,1028,NA,NA
Superannuitant,HPIQ.SSUP032,2008Q2,super,3.2,Footwear,Footwear,subgroup,988,NA,NA
All households,HPIQ.SALL04,2008Q2,allhh,4,Housing and household utilities,Housing,group,831,NA,NA
Beneficiary,HPIQ.SBEN04,2008Q2,benef,4,Housing and household utilities,Housing,group,859,NA,NA
Income quintile 1 (low),HPIQ.SIQ104,2008Q2,disq1,4,Housing and household utilities,Housing,group,836,NA,NA
Income quintile 2,HPIQ.SIQ204,2008Q2,disq2,4,Housing and household utilities,Housing,group,837,NA,NA
Income quintile 3,HPIQ.SIQ304,2008Q2,disq3,4,Housing and household utilities,Housing,group,833,NA,NA
Income quintile 4,HPIQ.SIQ404,2008Q2,disq4,4,Housing and household utilities,Housing,group,830,NA,NA
Income quintile 5 (high),HPIQ.SIQ504,2008Q2,disq5,4,Housing and household utilities,Housing,group,816,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ104,2008Q2,expq1,4,Housing and household utilities,Housing,group,829,NA,NA
Expenditure quintile 2,HPIQ.SEQ204,2008Q2,expq2,4,Housing and household utilities,Housing,group,837,NA,NA
Expenditure quintile 3,HPIQ.SEQ304,2008Q2,expq3,4,Housing and household utilities,Housing,group,840,NA,NA
Expenditure quintile 4,HPIQ.SEQ404,2008Q2,expq4,4,Housing and household utilities,Housing,group,830,NA,NA
Expenditure quintile 5 (high),HPIQ.SEQ504,2008Q2,expq5,4,Housing and household utilities,Housing,group,818,NA,NA
Maori,HPIQ.SMAO04,2008Q2,maori,4,Housing and household utilities,Housing,group,854,NA,NA
Superannuitant,HPIQ.SSUP04,2008Q2,super,4,Housing and household utilities,Housing,group,795,NA,NA
All households,HPIQ.SALL041,2008Q2,allhh,4.1,Actual rentals for housing,Rent,subgroup,895,NA,NA
Beneficiary,HPIQ.SBEN041,2008Q2,benef,4.1,Actual rentals for housing,Rent,subgroup,898,NA,NA
Income quintile 1 (low),HPIQ.SIQ1041,2008Q2,disq1,4.1,Actual rentals for housing,Rent,subgroup,898,NA,NA
Income quintile 2,HPIQ.SIQ2041,2008Q2,disq2,4.1,Actual rentals for housing,Rent,subgroup,897,NA,NA
Income quintile 3,HPIQ.SIQ3041,2008Q2,disq3,4.1,Actual rentals for housing,Rent,subgroup,895,NA,NA
Income quintile 4,HPIQ.SIQ4041,2008Q2,disq4,4.1,Actual rentals for housing,Rent,subgroup,894,NA,NA
Income quintile 5 (high),HPIQ.SIQ5041,2008Q2,disq5,4.1,Actual rentals for housing,Rent,subgroup,889,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ1041,2008Q2,expq1,4.1,Actual rentals for housing,Rent,subgroup,900,NA,NA
Expenditure quintile 2,HPIQ.SEQ2041,2008Q2,expq2,4.1,Actual rentals for housing,Rent,subgroup,896,NA,NA
Expenditure quintile 3,HPIQ.SEQ3041,2008Q2,expq3,4.1,Actual rentals for housing,Rent,subgroup,895,NA,NA
Expenditure quintile 4,HPIQ.SEQ4041,2008Q2,expq4,4.1,Actual rentals for housing,Rent,subgroup,894,NA,NA
Expenditure quintile 5 (high),HPIQ.SEQ5041,2008Q2,expq5,4.1,Actual rentals for housing,Rent,subgroup,886,NA,NA
Maori,HPIQ.SMAO041,2008Q2,maori,4.1,Actual rentals for housing,Rent,subgroup,901,NA,NA
Superannuitant,HPIQ.SSUP041,2008Q2,super,4.1,Actual rentals for housing,Rent,subgroup,895,NA,NA
All households,HPIQ.SALL043,2008Q2,allhh,4.3,Property maintenance,Property maintenance,subgroup,838,NA,NA
Beneficiary,HPIQ.SBEN043,2008Q2,benef,4.3,Property maintenance,Property maintenance,subgroup,849,NA,NA
Income quintile 1 (low),HPIQ.SIQ1043,2008Q2,disq1,4.3,Property maintenance,Property maintenance,subgroup,853,NA,NA
Income quintile 2,HPIQ.SIQ2043,2008Q2,disq2,4.3,Property maintenance,Property maintenance,subgroup,830,NA,NA
Income quintile 3,HPIQ.SIQ3043,2008Q2,disq3,4.3,Property maintenance,Property maintenance,subgroup,835,NA,NA
Income quintile 4,HPIQ.SIQ4043,2008Q2,disq4,4.3,Property maintenance,Property maintenance,subgroup,843,NA,NA
Income quintile 5 (high),HPIQ.SIQ5043,2008Q2,disq5,4.3,Property maintenance,Property maintenance,subgroup,833,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ1043,2008Q2,expq1,4.3,Property maintenance,Property maintenance,subgroup,829,NA,NA
Expenditure quintile 2,HPIQ.SEQ2043,2008Q2,expq2,4.3,Property maintenance,Property maintenance,subgroup,830,NA,NA
Expenditure quintile 3,HPIQ.SEQ3043,2008Q2,expq3,4.3,Property maintenance,Property maintenance,subgroup,852,NA,NA
Expenditure quintile 4,HPIQ.SEQ4043,2008Q2,expq4,4.3,Property maintenance,Property maintenance,subgroup,834,NA,NA
Expenditure quintile 5 (high),HPIQ.SEQ5043,2008Q2,expq5,4.3,Property maintenance,Property maintenance,subgroup,839,NA,NA
Maori,HPIQ.SMAO043,2008Q2,maori,4.3,Property maintenance,Property maintenance,subgroup,830,NA,NA
Superannuitant,HPIQ.SSUP043,2008Q2,super,4.3,Property maintenance,Property maintenance,subgroup,843,NA,NA
All households,HPIQ.SALL044,2008Q2,allhh,4.4,Property rates and related services,Property rates,subgroup,739,NA,NA
Beneficiary,HPIQ.SBEN044,2008Q2,benef,4.4,Property rates and related services,Property rates,subgroup,742,NA,NA
Income quintile 1 (low),HPIQ.SIQ1044,2008Q2,disq1,4.4,Property rates and related services,Property rates,subgroup,739,NA,NA
Income quintile 2,HPIQ.SIQ2044,2008Q2,disq2,4.4,Property rates and related services,Property rates,subgroup,739,NA,NA
Income quintile 3,HPIQ.SIQ3044,2008Q2,disq3,4.4,Property rates and related services,Property rates,subgroup,738,NA,NA
Income quintile 4,HPIQ.SIQ4044,2008Q2,disq4,4.4,Property rates and related services,Property rates,subgroup,739,NA,NA
Income quintile 5 (high),HPIQ.SIQ5044,2008Q2,disq5,4.4,Property rates and related services,Property rates,subgroup,742,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ1044,2008Q2,expq1,4.4,Property rates and related services,Property rates,subgroup,741,NA,NA
Expenditure quintile 2,HPIQ.SEQ2044,2008Q2,expq2,4.4,Property rates and related services,Property rates,subgroup,737,NA,NA
Expenditure quintile 3,HPIQ.SEQ3044,2008Q2,expq3,4.4,Property rates and related services,Property rates,subgroup,739,NA,NA
